id,sent_requests,user_group
1,8864,Group1
2,7472,Group1
3,6295,Group1
4,5658,Group1
5,4933,Group1
6,4364,Group1
7,3941,Group1
8,3920,Group1
9,3482,Group1
10,3394,Group1
11,3048,Group1
12,2999,Group1
13,2930,Group1
14,2711,Group1
15,2660,Group1
16,2572,Group1
17,2472,Group1
18,2399,Group1
19,2337,Group1
20,2292,Group1
21,2216,Group1
22,2183,Group1
23,2181,Group1
24,2018,Group1
25,1994,Group1
26,1966,Group1
27,1949,Group1
28,1931,Group1
29,1887,Group1
30,1861,Group1
31,1820,Group1
32,1817,Group1
33,1805,Group1
34,1743,Group1
35,1712,Group1
36,1695,Group1
37,1615,Group1
38,1604,Group1
39,1599,Group2
40,1584,Group1
41,1570,Group1
42,1476,Group1
43,1467,Group1
44,1435,Group1
45,1414,Group1
46,1401,Group1
47,1398,Group1
48,1363,Group1
49,1360,Group1
50,1359,Group1
51,1355,Group1
52,1349,Group1
53,1326,Group1
54,1324,Group1
55,1301,Group1
56,1283,Group1
57,1266,Group1
58,1258,Group1
59,1212,Group1
60,1202,Group1
61,1185,Group1
62,1156,Group1
63,1155,Group1
64,1154,Group1
65,1115,Group1
66,1109,Group1
67,1103,Group1
68,1066,Group1
69,1063,Group1
70,998,Group1
71,996,Group1
72,947,Group1
73,925,Group1
74,922,Group1
75,898,Group2
76,887,Group1
77,849,Group1
78,840,Group1
79,838,Group1
80,821,Group1
81,811,Group1
82,808,Group1
83,799,Group1
84,785,Group1
85,782,Group1
86,780,Group1
87,765,Group2
88,762,Group1
89,743,Group1
90,727,Group1
91,721,Group1
92,718,Group1
93,696,Group1
94,688,Group1
95,667,Group1
96,654,Group1
97,653,Group1
98,647,Group1
99,646,Group2
100,636,Group1
101,617,Group1
102,614,Group1
103,613,Group1
104,607,Group1
105,601,Group1
106,585,Group1
107,580,Group1
108,579,Group1
109,576,Group1
110,575,Group1
111,571,Group1
112,571,Group1
113,566,Group1
114,565,Group1
115,556,Group1
116,553,Group1
117,546,Group1
118,546,Group1
119,544,Group1
120,542,Group1
121,541,Group1
122,537,Group1
123,535,Group1
124,526,Group1
125,520,Group1
126,518,Group1
127,506,Group1
128,504,Group1
129,494,Group1
130,488,Group1
131,482,Group1
132,480,Group1
133,480,Group1
134,479,Group1
135,476,Group1
136,472,Group1
137,469,Group1
138,467,Group2
139,459,Group1
140,454,Group2
141,451,Group1
142,451,Group1
143,450,Group1
144,445,Group1
145,443,Group1
146,440,Group1
147,439,Group1
148,438,Group1
149,437,Group1
150,436,Group1
151,433,Group1
152,431,Group1
153,430,Group1
154,426,Group1
155,425,Group1
156,422,Group1
157,415,Group1
158,415,Group2
159,413,Group2
160,411,Group2
161,407,Group1
162,407,Group1
163,406,Group1
164,400,Group1
165,398,Group1
166,396,Group1
167,388,Group1
168,382,Group1
169,374,Group1
170,369,Group1
171,364,Group1
172,363,Group1
173,356,Group1
174,355,Group1
175,355,Group1
176,355,Group2
177,354,Group1
178,353,Group1
179,353,Group1
180,352,Group2
181,349,Group1
182,343,Group1
183,342,Group1
184,341,Group1
185,338,Group1
186,329,Group1
187,328,Group1
188,325,Group2
189,324,Group1
190,320,Group1
191,318,Group1
192,316,Group1
193,315,Group1
194,314,Group1
195,314,Group1
196,311,Group1
197,308,Group2
198,307,Group1
199,306,Group1
200,306,Group1
201,304,Group1
202,304,Group2
203,302,Group1
204,299,Group1
205,299,Group1
206,299,Group1
207,298,Group1
208,291,Group1
209,289,Group2
210,289,Group1
211,288,Group1
212,286,Group1
213,286,Group1
214,285,Group1
215,282,Group1
216,280,Group1
217,277,Group1
218,273,Group1
219,273,Group1
220,271,Group1
221,264,Group1
222,262,Group1
223,261,Group1
224,260,Group1
225,259,Group1
226,259,Group1
227,251,Group1
228,249,Group1
229,248,Group1
230,247,Group1
231,243,Group1
232,243,Group1
233,238,Group1
234,238,Group1
235,237,Group1
236,236,Group1
237,236,Group1
238,236,Group1
239,235,Group1
240,232,Group1
241,232,Group1
242,231,Group1
243,230,Group1
244,228,Group1
245,228,Group1
246,225,Group1
247,224,Group1
248,223,Group1
249,220,Group1
250,220,Group1
251,215,Group1
252,215,Group1
253,215,Group1
254,210,Group1
255,208,Group1
256,207,Group1
257,205,Group1
258,205,Group1
259,205,Group1
260,203,Group1
261,203,Group1
262,194,Group1
263,192,Group1
264,192,Group1
265,191,Group1
266,190,Group1
267,189,Group1
268,186,Group1
269,185,Group1
270,184,Group1
271,182,Group1
272,182,Group1
273,182,Group1
274,181,Group1
275,180,Group1
276,178,Group1
277,178,Group1
278,178,Group2
279,177,Group1
280,177,Group1
281,177,Group2
282,175,Group1
283,174,Group1
284,173,Group1
285,172,Group1
286,172,Group2
287,172,Group1
288,171,Group1
289,169,Group2
290,169,Group1
291,167,Group1
292,167,Group1
293,166,Group2
294,165,Group1
295,164,Group1
296,163,Group1
297,163,Group1
298,163,Group1
299,162,Group1
300,162,Group1
301,160,Group1
302,160,Group1
303,158,Group1
304,157,Group1
305,155,Group1
306,154,Group1
307,153,Group2
308,153,Group1
309,152,Group1
310,152,Group1
311,152,Group1
312,151,Group1
313,151,Group1
314,150,Group1
315,149,Group1
316,149,Group1
317,149,Group1
318,148,Group1
319,146,Group1
320,146,Group1
321,145,Group1
322,144,Group1
323,143,Group2
324,142,Group1
325,141,Group1
326,141,Group1
327,141,Group1
328,140,Group1
329,140,Group1
330,140,Group1
331,139,Group1
332,139,Group1
333,139,Group1
334,138,Group1
335,138,Group1
336,137,Group1
337,136,Group1
338,135,Group1
339,134,Group1
340,134,Group1
341,134,Group2
342,133,Group1
343,133,Group1
344,132,Group2
345,132,Group1
346,132,Group1
347,131,Group2
348,131,Group1
349,129,Group2
350,129,Group1
351,128,Group1
352,128,Group1
353,127,Group1
354,127,Group1
355,126,Group1
356,125,Group1
357,125,Group2
358,125,Group1
359,124,Group1
360,124,Group2
361,124,Group1
362,124,Group1
363,124,Group1
364,124,Group2
365,121,Group1
366,121,Group1
367,119,Group1
368,119,Group1
369,119,Group1
370,119,Group1
371,119,Group2
372,118,Group1
373,118,Group1
374,118,Group1
375,117,Group1
376,117,Group1
377,117,Group1
378,117,Group2
379,116,Group2
380,116,Group1
381,115,Group1
382,115,Group1
383,115,Group1
384,113,Group1
385,113,Group2
386,112,Group1
387,111,Group1
388,111,Group2
389,111,Group1
390,109,Group1
391,109,Group1
392,108,Group2
393,107,Group1
394,107,Group1
395,107,Group2
396,107,Group1
397,107,Group1
398,106,Group1
399,106,Group1
400,105,Group1
401,104,Group1
402,103,Group1
403,103,Group1
404,102,Group1
405,101,Group1
406,101,Group1
407,101,Group1
408,101,Group2
409,101,Group1
410,100,Group1
411,100,Group1
412,99,Group1
413,99,Group1
414,99,Group1
415,99,Group2
416,99,Group1
